created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Feb 15 14:55:56 +0000 2024;1,75814E+18;Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk:  [ HOT ] Tasya Farasya Approved SKINTIFIC - 5X Ceramide Barrier  Moisturize Gel Moisturizer 30G/80G Harga Produk:  Rp339.000 Harga Diskon:  Rp259.999 | https://t.co/ryvNve0IHV;0;0;0;0;in;1,41336E+18;1,75814E+18;dreams654e;https://twitter.com/dreams654e/status/1758143109131882910
Thu Feb 15 14:51:57 +0000 2024;1,75814E+18;@ohmybeautybank Ga pernah cobain itu tapi aku pake lip lappin bagus bgt nder tasya farasya approved juga;0;1;0;0;in;1,53713E+18;1,75814E+18;Rapunzellaswetz;https://twitter.com/Rapunzellaswetz/status/1758142105401364904
Thu Feb 15 14:27:37 +0000 2024;1,75814E+18;@cc991O Soalnya Tasya Farasya suka banget setting spray RB, makanya ku bilang gituu. Hmm, gak tau bagus apa enggak, karena saya cuma baru pernah nyobain semprot pas di Sephora. Terus gak beli itu, karena pas nyobain Charlotte Tilbury ternyata hasilnya lebih mantap (untuk dewy finish);0;1;0;0;in;244331524;1,75802E+18;saturnringlets;https://twitter.com/saturnringlets/status/1758135981931454700
Thu Feb 15 13:27:59 +0000 2024;1,75812E+18;KAYAK TASYA FARASYA APPROVED😭😭😭😭😭😭😭😭;0;1;1;3;in;3308362590;1,75812E+18;seojuyoung_;https://twitter.com/seojuyoung_/status/1758120975961661852
Thu Feb 15 13:24:44 +0000 2024;1,75812E+18;ARGGGH. WTT kartu kosong (tasya farasya approved) want: kartu cherry #zonahuan #zonahehuan https://t.co/jR1y8w1Y0I;0;0;5;0;in;1,16626E+18;1,75812E+18;alggia;https://twitter.com/alggia/status/1758120155593470142
Thu Feb 15 13:04:14 +0000 2024;1,75811E+18;WTS kartu bomb!! (tasya farasya approved) 💰 30k #zonahuan #zonahehuan https://t.co/0T0MkmolVH;0;0;0;0;in;1,16626E+18;1,75811E+18;alggia;https://twitter.com/alggia/status/1758114997031543178
Thu Feb 15 12:57:28 +0000 2024;1,75811E+18;TASYA FARASYA KETEMU KAREENA KAPOOR JIRR 🫶🏻🫶🏻😭;0;0;0;0;in;1,1458E+18;1,75811E+18;satoornuzexx;https://twitter.com/satoornuzexx/status/1758113296484569235
Thu Feb 15 11:44:41 +0000 2024;1,75809E+18;@etingyun tunggu gw se-jaya tasya farasya dl baru gw beli;0;1;0;0;in;1,36187E+18;1,75809E+18;kafkaleftboob;https://twitter.com/kafkaleftboob/status/1758094979665481951
Thu Feb 15 11:21:21 +0000 2024;1,75809E+18;kk beauty influencer 🤭 tasya farasya tolong ini diajak ngonten bareng 🤣 https://t.co/DE11Au59Pl;0;1;0;6;in;1,37697E+18;1,75809E+18;struruggle;https://twitter.com/struruggle/status/1758089107170038020
Thu Feb 15 11:17:46 +0000 2024;1,75809E+18;@najmiiij 02 tau mayoritas adalah gen z Makanya strategi mereka pakai influencer kelas atas Jadi kalau ada influencer kelas atas gk ada di mereka,artinya idealismenya bagus Vincent,surya insomnia,indra jegel,rigen,eca,fadil,tasya farasya,dll;0;0;0;0;in;615993566;1,75779E+18;variztelrooy;https://twitter.com/variztelrooy/status/1758088205247889739
